Season,Episode number,Title,Airing date,File path
1,1,Bento,2008-04-14,001 BEGIN Japanology - Bento.avi
1,2,Miyazawa Kenji,2008-04-21,002 BEGIN Japanology - Miyazawa Kenji.avi
1,5,Tsukiji Market,2008-05-12,005 BEGIN Japanology - Tsukiji Market.avi
1,6,Yoshoku,2008-05-19,006 BEGIN Japanology - Yoshoku.avi
1,7,Kyudo,2008-05-26,007 BEGIN Japanology - Kyudo.avi
1,8,Tea Ceremony Architecture,2008-06-02,008 BEGIN Japanology - Tea Ceremony Architecture.avi
1,9,Dagashi-ya,2008-06-09,009 BEGIN Japanology - Dagashi-ya.avi
1,10,Nihon Buyo,2008-06-16,010 BEGIN Japanology - Nihon Buyo.avi
1,11,Abacus,2008-06-23,011 BEGIN Japanology - Abacus.avi
1,12,Ryukyu Kimono,2008-06-30,012 BEGIN Japanology - Ryukyu Kimono.avi
1,13,Bamboo,2008-07-14,013 BEGIN Japanology - Bamboo.avi
1,14,Shirakawa-go,2008-07-21,014 BEGIN Japanology - Shirakawa-go.avi
1,15,Fireworks,2008-07-28,015 BEGIN Japanology - Fireworks.avi
1,16,Hanging scrolls,2008-08-17,016 BEGIN Japanology - Hanging Scrolls.avi
1,17,The Tale of Genji: Part 1,2008-08-24,017 BEGIN Japanology - The Tale of Genji part 1.avi
1,18,The Tale of Genji: Part 2,2008-08-31,018 BEGIN Japanology - The Tale of Genji part 2.avi
1,19,Matcha,2008-09-07,019 BEGIN Japanology - Matcha.avi
1,20,Tokyo Tower,2008-09-14,020 BEGIN Japanology - Tokyo Tower.avi
1,21,Dashi,2008-09-21,021 BEGIN Japanology - Dashi.avi
1,23,The Colorful World of Utagawa Hiroshige,2008-10-05,023 BEGIN Japanology - The Colorful World of Utagawa Hiroshige.wmv
1,25,Sushi,2008-10-19,025 BEGIN Japanology - Sushi.avi
1,27,Yuzen Kimono,2008-11-02,027 BEGIN Japanology - Yuzen Kimono.mkv
1,32,Castles,2008-12-08,032 BEGIN Japanology - Castles.avi
