Season,Episode number,Title,Airing date,File path
1,1,Roman Britain  - The Work of Giants Crumbled,2020-04-08,E01.webm
1,2,The Bronze Age Collapse - Mediterranean Apocalypse,2020-04-08,E02.webm
1,3,The Mayans - Ruins Among the Trees,2020-04-09,E03.webm
1,4,The Greenland Vikings - Land of the Midnight Sun,2020-04-14,E04.webm
1,5,The Khmer Empire - Fall of the God Kings,2020-05-04,E05.webm
1,6,Easter Island - Where Giants Walked,2020-06-05,E06.webm
1,7,The Songhai Empire - Africa's Age of Gold,2020-07-19,E07.webm
1,8,The Sumerians - Fall of the First Cities,2020-08-16,E08.webm
1,9,The Aztecs - A Clash of Worlds (Part 1 of 2),2020-10-28,E09.webm
1,10,The Aztecs - A Clash of Worlds (Part 2 of 2),2020-10-28,E10.webm
1,11,The Han Dynasty - The First Empire in Flames,2020-12-05,E11.webm
1,12,Byzantium - Last of the Romans (Part 1 of 2),2021-01-31,E12.webm
1,13,Byzantium - Last of the Romans (Part 2 of 2),2021-02-06,E13.webm
1,14,The Inca - Cities in the Cloud (Part 1 of 2),2021-07-25,E14.webm
1,15,The Inca - Cities in the Cloud (Part 2 of 2),2021-07-31,E15.webm
1,16,The Assyrians - Empire of Iron,2021-10-16,E16.webm
1,17,Vijayanagara - The Last Emperors of South India,2022-04-22,E17.webm
1,18,The Nabataeans - The Final Days Of Petra,2022-07-17,E18.webm
1,19,Bagan - City of Temples,2022-11-03,E19.webm
1,20,Carthage - Empire of the Phoenicians,2023-06-18,E20.webm
