Season,Episode number,Title,Airing date,File path
1,1,Bathhouses,2014-04-03,252 Japanology Plus - Bathhouses.mp4
1,2,Ramen,2014-04-10,253 Japanology Plus - Ramen.mp4
1,3,Mount Fuji,2014-04-17,254 Japanology Plus - Mt. Fuji.mp4
1,4,Shogi,2014-04-24,255 Japanology Plus - Shogi.mp4
1,5,Cherry Trees,2014-05-01,256 Japanology Plus - Cherry Trees.mp4
1,6,Akihabara,2014-05-08,257 Japanology Plus - Akihabara.mp4
1,7,Wagashi,2014-05-15,258 Japanology Plus - Wagashi.mp4
1,8,Ninja,2014-05-22,259 Japanology Plus - Ninja.mp4
1,9,Rice,2014-05-29,260 Japanology Plus - Rice.mp4
1,10,Castles,2014-06-05,261 Japanology Plus - Castles.mp4
1,11,Japanophiles – Elizabeth Suzuki,2014-07-03,262 Japanology Plus - Japanophiles Elizabeth Suzuki.mp4
1,12,Japanophiles – Everett Kennedy Brown,2014-07-10,263 Japanology Plus - Japanophiles Everett Kennedy Brown.mp4
1,13,Japanophiles – Carolin Eckhardt,2014-07-17,264 Japanology Plus - Japanophiles Carolin Eckhardt.mp4
1,14,Karaoke Boxes,2014-08-07,265 Japanology Plus - Karaoke Boxes.mp4
1,15,Bento,2014-08-14,266 Japanology Plus - Bento.mp4
1,16,Bamboo,2014-08-21,267 Japanology Plus - Bamboo.mp4
1,17,Taiko Drums,2014-09-04,268 Japanology Plus - Taiko Drums.mp4
1,18,Tsukiji Market,2014-09-11,269 Japanology Plus - Tsukiji Market.mp4
1,19,Festivals,2014-09-18,270 Japanology Plus - Festivals.mp4
1,20,Japanese Gardens,2014-09-25,271 Japanology Plus - Japanese Gardens.mp4
1,21,Origami,2014-10-02,272 Japanology Plus - Origami.mp4
1,22,Buddhist Statues,2014-10-09,273 Japanology Plus - Buddhist Statues.mp4
1,23,Yokai,2014-10-16,274 Japanology Plus - Yokai.mp4
1,24,Shinkansen,2014-10-23,275 Japanology Plus - Shinkansen.mp4
1,25,Lessons for Life,2014-11-06,276 Japanology Plus - Lessons for Life.mp4
1,26,Robots,2014-11-13,277 Japanology Plus - Robots.mp4
1,27,Sports Days,2014-11-20,278 Japanology Plus - Sports Days.mp4
1,28,Bonsai,2014-12-04,279 Japanology Plus - Bonsai.mp4
